Name,plot.ID,site,arbeitsname,Art,Schicht,Deckung
MT16,16,Meu_trock,WM16,Betula,HL,"4,5"
MT16,16,Meu_trock,WM16,Molinia caerulea caerulea,HL,18
MT16,16,Meu_trock,WM16,Pinus sylvestris,HL,"0,1"
MT16,16,Meu_trock,WM16,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"0,1"
MT16,16,Meu_trock,WM16,Polytrichum formosum Hedw.,ML,38
MT17,17,Meu_trock,WM17,Betula,HL,"4,5"
MT17,17,Meu_trock,WM17,Molinia caerulea caerulea,HL,38
MT17,17,Meu_trock,WM17,Pinus sylvestris,HL,"4,5"
MT17,17,Meu_trock,WM17,Polytrichum formosum Hedw.,ML,38
MT18,18,Meu_trock,WM18,Betula,HL,"4,5"
MT18,18,Meu_trock,WM18,Molinia caerulea caerulea,HL,38
MT18,18,Meu_trock,WM18,Pinus sylvestris,HL,"0,5"
MT18,18,Meu_trock,WM18,Polytrichum formosum Hedw.,ML,38
MT19,19,Meu_trock,WM19,Molinia caerulea caerulea,HL,63
MT19,19,Meu_trock,WM19,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"4,5"
MT19,19,Meu_trock,WM19,Polytrichum formosum Hedw.,ML,18
MT20,20,Meu_trock,WM20,Frangula alnus,HL,"0,5"
MT20,20,Meu_trock,WM20,Molinia caerulea caerulea,HL,88
MT20,20,Meu_trock,WM20,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"0,1"
MT20,20,Meu_trock,WM20,Dicranum scoparium Hedw.,ML,"0,1"
MT20,20,Meu_trock,WM20,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,5"
MT21,21,Meu_trock,WM21,Betula,HL,"0,5"
MT21,21,Meu_trock,WM21,Molinia caerulea caerulea,HL,63
MT21,21,Meu_trock,WM21,Pinus sylvestris,HL,"0,5"
MT21,21,Meu_trock,WM21,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,5"
MT21,21,Meu_trock,WM21,Polytrichum formosum Hedw.,ML,"4,5"
MT22,22,Meu_trock,WM22,Betula,HL,18
MT22,22,Meu_trock,WM22,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT22,22,Meu_trock,WM22,Molinia caerulea caerulea,HL,63
MT22,22,Meu_trock,WM22,Pinus sylvestris,HL,"0,5"
MT22,22,Meu_trock,WM22,Vaccinium myrtillus,HL,"4,5"
MT22,22,Meu_trock,WM22,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"4,5"
