"Name";"plot.ID";"site";"arbeitsname";"Transekt";"Transektnummer";"Art";"Schicht";"Deckung";"Wuchsform";"Sukzessionszeiger";"Moorart"
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Pinus_sylvestris";"SL";0;"woody";NA;NA
"MT1";1;"Meu_trock";"WM1";"WO";-25;"Salix_aurita";"SL";0;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Pinus_sylvestris";"TL";88;"woody";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Betula_pubescens";"TL";0;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Betula";"HL";0;"woody";TRUE;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Callitriche_palustris";"HL";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Calluna_vulgaris";"HL";0;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Carex_canescens";"HL";0;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Carex_echinata";"HL";0;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Carex_nigra";"HL";0;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Carex_rostrata";"HL";0;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Digitalis_purpurea";"HL";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Dryopteris_carthusiana";"HL";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Eriophorum_angustifolium";"HL";0;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Frangula_alnus";"HL";0;"woody";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Holcus_lanatus";"HL";0;"grass";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Juncus_effusus";"HL";0;"grass";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Lycopus_europaeus";"HL";0;"";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Molinia_caerulea";"HL";38;"grass";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Pinus_sylvestris";"HL";0;"woody";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Pteridium_aquilinum";"HL";18;"";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Quercus_robur";"HL";0;"woody";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Rubus_caesius";"HL";0;"";TRUE;NA
