id	taxonID	scientificName	kingdom
Anomodon attenuatus (Hedw.) Hueb.	Anomodon attenuatus (Hedw.) Hueb.	Anomodon attenuatus (Hedw.) Hueb.	Plantae
Anomodon longifolius (Brid.) Hartm.	Anomodon longifolius (Brid.) Hartm.	Anomodon longifolius (Brid.) Hartm.	Plantae
Anomodon rostratus (Hedw.) Schimp.	Anomodon rostratus (Hedw.) Schimp.	Anomodon rostratus (Hedw.) Schimp.	Plantae
Anomodon rugelii (C. Muell.) Keissl.	Anomodon rugelii (C. Muell.) Keissl.	Anomodon rugelii (C. Muell.) Keissl.	Plantae
Anomodon viticulosus (Hedw.) Hook. & Tayl.	Anomodon viticulosus (Hedw.) Hook. & Tayl.	Anomodon viticulosus (Hedw.) Hook. & Tayl.	Plantae
Anthelia julacea (L.) Dum.	Anthelia julacea (L.) Dum.	Anthelia julacea (L.) Dum.	Plantae
Anthelia juratzkana (Limpr.) Trev.	Anthelia juratzkana (Limpr.) Trev.	Anthelia juratzkana (Limpr.) Trev.	Plantae
Anthoceros agrestis Paton (punctatus var. cavernosus)	Anthoceros agrestis Paton (punctatus var. cavernosus)	Anthoceros agrestis Paton (punctatus var. cavernosus)	Plantae
Anthoceros neesii Prosk.	Anthoceros neesii Prosk.	Anthoceros neesii Prosk.	Plantae
Anthoceros punctatus L. (husnotii)	Anthoceros punctatus L. (husnotii)	Anthoceros punctatus L. (husnotii)	Plantae
Antitrichia californica Sull.	Antitrichia californica Sull.	Antitrichia californica Sull.	Plantae
Antitrichia curtipendula (Hedw.) Brid. fo. curtipendula	Antitrichia curtipendula (Hedw.) Brid. fo. curtipendula	Antitrichia curtipendula (Hedw.) Brid. fo. curtipendula	Plantae
Aongstroemia longipes (Somm.) B., S. & G.	Aongstroemia longipes (Somm.) B., S. & G.	Aongstroemia longipes (Somm.) B., S. & G.	Plantae
Aphanolejeunea microscopica (Tayl.) Evans	Aphanolejeunea microscopica (Tayl.) Evans	Aphanolejeunea microscopica (Tayl.) Evans	Plantae
Aphanorhegma patens (Hedw.) Lindb.	Aphanorhegma patens (Hedw.) Lindb.	Aphanorhegma patens (Hedw.) Lindb.	Plantae
Apometzgeria pubescens (Schrank) Kuwah.	Apometzgeria pubescens (Schrank) Kuwah.	Apometzgeria pubescens (Schrank) Kuwah.	Plantae
Archidium alternifolium (Hedw.) Schimp.	Archidium alternifolium (Hedw.) Schimp.	Archidium alternifolium (Hedw.) Schimp.	Plantae
Arctoa fulvella (Dicks.) B., S. & G.	Arctoa fulvella (Dicks.) B., S. & G.	Arctoa fulvella (Dicks.) B., S. & G.	Plantae
Arnellia fennica (Gott.) Lindb.	Arnellia fennica (Gott.) Lindb.	Arnellia fennica (Gott.) Lindb.	Plantae
Aschisma carniolicum (Web. & Mohr) Lindb.	Aschisma carniolicum (Web. & Mohr) Lindb.	Aschisma carniolicum (Web. & Mohr) Lindb.	Plantae
Asterella gracilis (F. Web.) Underw. (F. ludwigii)	Asterella gracilis (F. Web.) Underw. (F. ludwigii)	Asterella gracilis (F. Web.) Underw. (F. ludwigii)	Plantae
Asterella lindenbergiana (Corda ex Nees) H. Arn.	Asterella lindenbergiana (Corda ex Nees) H. Arn.	Asterella lindenbergiana (Corda ex Nees) H. Arn.	Plantae
Asterella saccata (Wahlenb.) Nees	Asterella saccata (Wahlenb.) Nees	Asterella saccata (Wahlenb.) Nees	Plantae
Athalamya hyalina (Sommerf.) Hattori var. hyalina	Athalamya hyalina (Sommerf.) Hattori var. hyalina	Athalamya hyalina (Sommerf.) Hattori var. hyalina	Plantae
Athalamya hyalina var. suecica (Lindb.) Hattori	Athalamya hyalina var. suecica (Lindb.) Hattori	Athalamya hyalina var. suecica (Lindb.) Hattori	Plantae
Atrichum angustatum (Brid.) B. & S.	Atrichum angustatum (Brid.) B. & S.	Atrichum angustatum (Brid.) B. & S.	Plantae
Atrichum tenellum (Roehl.) B. & S.	Atrichum tenellum (Roehl.) B. & S.	Atrichum tenellum (Roehl.) B. & S.	Plantae
Atrichum undulatum (Hedw.) P. Beauv. var. undulatum	Atrichum undulatum (Hedw.) P. Beauv. var. undulatum	Atrichum undulatum (Hedw.) P. Beauv. var. undulatum	Plantae
Atrichum undulatum var. gracilisetum Besch. (haussknechtii)	Atrichum undulatum var. gracilisetum Besch. (haussknechtii)	Atrichum undulatum var. gracilisetum Besch. (haussknechtii)	Plantae
Aulacomnium androgynum (Hedw.) Schwaegr.	Aulacomnium androgynum (Hedw.) Schwaegr.	Aulacomnium androgynum (Hedw.) Schwaegr.	Plantae
Aulacomnium palustre (Hedw.) Schwaegr. var. palustre	Aulacomnium palustre (Hedw.) Schwaegr. var. palustre	Aulacomnium palustre (Hedw.) Schwaegr. var. palustre	Plantae
Aulacomnium palustre var. imbricatum B. & S.	Aulacomnium palustre var. imbricatum B. & S.	Aulacomnium palustre var. imbricatum B. & S.	Plantae
Aulacomnium turgidum (Wahlenb.) Schwaegr.	Aulacomnium turgidum (Wahlenb.) Schwaegr.	Aulacomnium turgidum (Wahlenb.) Schwaegr.	Plantae
Barbilophozia atlantica (Kaal.) K. Muell.	Barbilophozia atlantica (Kaal.) K. Muell.	Barbilophozia atlantica (Kaal.) K. Muell.	Plantae
Barbilophozia attenuata (Mart.) Loeske	Barbilophozia attenuata (Mart.) Loeske	Barbilophozia attenuata (Mart.) Loeske	Plantae
Barbilophozia barbata (Schmid. ex Schreb.) Loeske	Barbilophozia barbata (Schmid. ex Schreb.) Loeske	Barbilophozia barbata (Schmid. ex Schreb.) Loeske	Plantae
Barbilophozia floerkei (Web. & Mohr) Loeske	Barbilophozia floerkei (Web. & Mohr) Loeske	Barbilophozia floerkei (Web. & Mohr) Loeske	Plantae
Barbilophozia hatcheri (Evans) Loeske	Barbilophozia hatcheri (Evans) Loeske	Barbilophozia hatcheri (Evans) Loeske	Plantae
Barbilophozia kunzeana (Hueb.) K. Muell.	Barbilophozia kunzeana (Hueb.) K. Muell.	Barbilophozia kunzeana (Hueb.) K. Muell.	Plantae
Barbilophozia lycopodioides (Wallr.) Loeske	Barbilophozia lycopodioides (Wallr.) Loeske	Barbilophozia lycopodioides (Wallr.) Loeske	Plantae
Barbilophozia quadriloba (Lindb.) Loeske	Barbilophozia quadriloba (Lindb.) Loeske	Barbilophozia quadriloba (Lindb.) Loeske	Plantae
Barbula bicolor (B., S. & G.) Lindb.	Barbula bicolor (B., S. & G.) Lindb.	Barbula bicolor (B., S. & G.) Lindb.	Plantae
Barbula convoluta Hedw. var. convoluta	Barbula convoluta Hedw. var. convoluta	Barbula convoluta Hedw. var. convoluta	Plantae
Barbula convoluta var. commutata (Jur.) Husn.	Barbula convoluta var. commutata (Jur.) Husn.	Barbula convoluta var. commutata (Jur.) Husn.	Plantae
Barbula crocea (Brid.) Web. & Mohr	Barbula crocea (Brid.) Web. & Mohr	Barbula crocea (Brid.) Web. & Mohr	Plantae
Barbula ehrenbergii (Lor.) Fleischer (Hydrogonium)	Barbula ehrenbergii (Lor.) Fleischer (Hydrogonium)	Barbula ehrenbergii (Lor.) Fleischer (Hydrogonium)	Plantae
Barbula enderesii Garov.	Barbula enderesii Garov.	Barbula enderesii Garov.	Plantae
Barbula indica (Hook.) Zander	Barbula indica (Hook.) Zander	Barbula indica (Hook.) Zander	Plantae
Barbula unguiculata Hedw.	Barbula unguiculata Hedw.	Barbula unguiculata Hedw.	Plantae
Bartramia halleriana Hedw. D116	Bartramia halleriana Hedw. D116	Bartramia halleriana Hedw. D116	Plantae
Bartramia ithyphylla Brid. var. ithyphylla	Bartramia ithyphylla Brid. var. ithyphylla	Bartramia ithyphylla Brid. var. ithyphylla	Plantae
Bartramia ithyphylla var. breviseta (Lindb.) Kindb. (+ strigosa)	Bartramia ithyphylla var. breviseta (Lindb.) Kindb. (+ strigosa)	Bartramia ithyphylla var. breviseta (Lindb.) Kindb. (+ strigosa)	Plantae
Bartramia pomiformis Hedw. var. pomiformis	Bartramia pomiformis Hedw. var. pomiformis	Bartramia pomiformis Hedw. var. pomiformis	Plantae
Bartramia pomiformis var. elongata Turn.	Bartramia pomiformis var. elongata Turn.	Bartramia pomiformis var. elongata Turn.	Plantae
Bartramia stricta Brid.	Bartramia stricta Brid.	Bartramia stricta Brid.	Plantae
Bartramia subulata B., S. & G.	Bartramia subulata B., S. & G.	Bartramia subulata B., S. & G.	Plantae
Bazzania flaccida (Dum.) Grolle (denudata auct.)	Bazzania flaccida (Dum.) Grolle (denudata auct.)	Bazzania flaccida (Dum.) Grolle (denudata auct.)	Plantae
Bazzania tricrenata (Wahlenb.) Lindb.	Bazzania tricrenata (Wahlenb.) Lindb.	Bazzania tricrenata (Wahlenb.) Lindb.	Plantae
Bazzania trilobata (L.) S. Gray var. trilobata	Bazzania trilobata (L.) S. Gray var. trilobata	Bazzania trilobata (L.) S. Gray var. trilobata	Plantae
Bazzania trilobata var. depauperata (K. Muell.) Grolle	Bazzania trilobata var. depauperata (K. Muell.) Grolle	Bazzania trilobata var. depauperata (K. Muell.) Grolle	Plantae
Blasia pusilla L.	Blasia pusilla L.	Blasia pusilla L.	Plantae
Blepharostoma trichophyllum (L.) Dum. ssp. trichophyllum	Blepharostoma trichophyllum (L.) Dum. ssp. trichophyllum	Blepharostoma trichophyllum (L.) Dum. ssp. trichophyllum	Plantae
Blepharostoma trichophyllum ssp. brevirete (Bryhn & Kaal.) Schust.	Blepharostoma trichophyllum ssp. brevirete (Bryhn & Kaal.) Schust.	Blepharostoma trichophyllum ssp. brevirete (Bryhn & Kaal.) Schust.	Plantae
Blindia acuta (Hedw.) B., S. & G.	Blindia acuta (Hedw.) B., S. & G.	Blindia acuta (Hedw.) B., S. & G.	Plantae
Blindia caespiticia (Web. & Mohr) C. Muell.	Blindia caespiticia (Web. & Mohr) C. Muell.	Blindia caespiticia (Web. & Mohr) C. Muell.	Plantae
Brachydontium trichodes (Web.) Milde	Brachydontium trichodes (Web.) Milde	Brachydontium trichodes (Web.) Milde	Plantae
Brachythecium albicans (Hedw.) B., S. & G.	Brachythecium albicans (Hedw.) B., S. & G.	Brachythecium albicans (Hedw.) B., S. & G.	Plantae
Brachythecium campestre (C. Muell.) B., S. & G.	Brachythecium campestre (C. Muell.) B., S. & G.	Brachythecium campestre (C. Muell.) B., S. & G.	Plantae
